cart_id,product_id,product_name,price,quantity,total,discount_percentage,discounted_total,thumbnail
1,113,Generic Motorcycle,3999.99,3.0,11999.97,12.1,10547.97,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
1,122,iPhone 6,299.99,3.0,899.97,6.69,839.76,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
1,138,Baseball Ball,8.99,2.0,17.98,1.71,17.67,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
1,162,Blue Frock,29.99,4.0,119.96,12.13,105.41,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
2,86,Man Short Sleeve Shirt,19.99,5.0,99.95,6.83,93.12,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
2,104,Apple iPhone Charger,19.99,2.0,39.98,18.52,32.58,https://cdn.dummyjson.com/product-images/mobile-accessories/apple-iphone-charger/thumbnail.webp
3,8,Dior J'adore,89.99,2.0,179.98,14.72,153.49,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
3,24,Fish Steak,14.99,1.0,14.99,4.23,14.36,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
3,86,Man Short Sleeve Shirt,19.99,5.0,99.95,6.83,93.12,https://cdn.dummyjson.com/product-images/mens-shirts/man-short-sleeve-shirt/thumbnail.webp
3,123,iPhone 13 Pro,1099.99,1.0,1099.99,9.37,996.92,https://cdn.dummyjson.com/product-images/smartphones/iphone-13-pro/thumbnail.webp
3,129,Realme X,299.99,1.0,299.99,6.95,279.14,https://cdn.dummyjson.com/product-images/smartphones/realme-x/thumbnail.webp
3,157,Party Glasses,19.99,5.0,99.95,11.22,88.74,https://cdn.dummyjson.com/product-images/sunglasses/party-glasses/thumbnail.webp
4,8,Dior J'adore,89.99,4.0,359.96,14.72,306.97,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
4,92,Sports Sneakers Off White Red,109.99,3.0,329.97,0.04,329.84,https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp
5,3,Powder Canister,14.99,4.0,59.96,9.84,54.06,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
5,39,Soft Drinks,1.99,4.0,7.96,17.48,6.57,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp
5,161,Samsung Galaxy Tab White,349.99,4.0,1399.96,18.2,1145.17,https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp
6,42,Water,0.99,4.0,3.96,14.92,3.37,https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp
6,130,Realme XT,349.99,1.0,349.99,11.51,309.71,https://cdn.dummyjson.com/product-images/smartphones/realme-xt/thumbnail.webp
6,155,Classic Sun Glasses,24.99,4.0,99.96,4.94,95.02,https://cdn.dummyjson.com/product-images/sunglasses/classic-sun-glasses/thumbnail.webp
6,192,Rolex Datejust Women,10999.99,5.0,54999.95,15.94,46232.96,https://cdn.dummyjson.com/product-images/womens-watches/rolex-datejust-women/thumbnail.webp
7,9,Dolce Shine Eau de,69.99,2.0,139.98,0.62,139.11,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp
7,56,Electric Stove,49.99,1.0,49.99,14.04,42.97,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp
7,90,Puma Future Rider Trainers,89.99,5.0,449.95,4.2,431.05,https://cdn.dummyjson.com/product-images/mens-shoes/puma-future-rider-trainers/thumbnail.webp
