cart_id,user_id,total,discounted_total,total_products,total_quantity,source_extracted_at
1,1,13037.88,11510.81,4.0,12.0,2026-09-15T02:03:53.229890+00:00
2,2,139.93,125.7,2.0,7.0,2026-09-15T02:03:53.229890+00:00
3,3,1794.85,1625.77,6.0,15.0,2026-09-15T02:03:53.229890+00:00
4,4,689.93,636.81,2.0,7.0,2026-09-15T02:03:53.229890+00:00
5,5,1467.88,1205.8,3.0,12.0,2026-09-15T02:03:53.229890+00:00
6,6,55453.86,46641.06,4.0,14.0,2026-09-15T02:03:53.229890+00:00
7,7,1229.86,1103.65,6.0,14.0,2026-09-15T02:03:53.229890+00:00
8,8,6337.83,5771.32,6.0,17.0,2026-09-15T02:03:53.229890+00:00
9,9,29709.9,27993.46,4.0,10.0,2026-09-15T02:03:53.229890+00:00
10,10,152.44,131.34,2.0,6.0,2026-09-15T02:03:53.229890+00:00
11,11,61831.75,57397.84,5.0,15.0,2026-09-15T02:03:53.229890+00:00
12,12,37767.32,35410.79,6.0,18.0,2026-09-15T02:03:53.229890+00:00
13,13,16.54,14.97,2.0,6.0,2026-09-15T02:03:53.229890+00:00
14,14,209.9,184.59,3.0,10.0,2026-09-15T02:03:53.229890+00:00
15,15,249.95,214.68,3.0,5.0,2026-09-15T02:03:53.229890+00:00
16,16,384.92,364.7,2.0,8.0,2026-09-15T02:03:53.229890+00:00
17,17,5531.34,5014.94,4.0,16.0,2026-09-15T02:03:53.229890+00:00
18,18,128999.9,124978.81,2.0,10.0,2026-09-15T02:03:53.229890+00:00
19,19,22142.88,21308.13,5.0,12.0,2026-09-15T02:03:53.229890+00:00
20,20,4711.88,4251.41,4.0,12.0,2026-09-15T02:03:53.229890+00:00
21,21,12939.94,10966.03,3.0,6.0,2026-09-15T02:03:53.229890+00:00
22,22,307.92,296.47,3.0,8.0,2026-09-15T02:03:53.229890+00:00
23,23,2499.91,2123.87,2.0,9.0,2026-09-15T02:03:53.229890+00:00
24,24,30299.94,26780.04,2.0,6.0,2026-09-15T02:03:53.229890+00:00
25,25,1228.35,1070.83,5.0,15.0,2026-09-15T02:03:53.229890+00:00
26,26,1111.84,1021.64,4.0,16.0,2026-09-15T02:03:53.229890+00:00
27,27,111014.85,100496.36,4.0,15.0,2026-09-15T02:03:53.229890+00:00
28,28,5944.77,5531.37,6.0,23.0,2026-09-15T02:03:53.229890+00:00
29,29,2359.84,2077.88,4.0,16.0,2026-09-15T02:03:53.229890+00:00
30,30,186110.85,155507.16,6.0,15.0,2026-09-15T02:03:53.229890+00:00
31,31,1268.88,1111.0,5.0,12.0,2026-09-15T02:03:53.229890+00:00
32,32,187.44,153.2,2.0,6.0,2026-09-15T02:03:53.229890+00:00
33,33,129057.77,125461.58,6.0,23.0,2026-09-15T02:03:53.229890+00:00
34,34,1479.92,1240.78,3.0,8.0,2026-09-15T02:03:53.229890+00:00
35,35,618.86,507.21,6.0,14.0,2026-09-15T02:03:53.229890+00:00
36,36,98.91,89.37,3.0,9.0,2026-09-15T02:03:53.229890+00:00
37,37,129.93,119.32,2.0,7.0,2026-09-15T02:03:53.229890+00:00
38,38,409.95,334.61,3.0,5.0,2026-09-15T02:03:53.229890+00:00
39,39,279.96,249.24,2.0,4.0,2026-09-15T02:03:53.229890+00:00
40,40,263.9,253.64,3.0,10.0,2026-09-15T02:03:53.229890+00:00
41,41,49649.82,46340.09,5.0,18.0,2026-09-15T02:03:53.229890+00:00
42,42,626.84,531.17,5.0,16.0,2026-09-15T02:03:53.229890+00:00
43,43,1689.88,1521.19,4.0,12.0,2026-09-15T02:03:53.229890+00:00
44,44,47055.84,43550.16,6.0,16.0,2026-09-15T02:03:53.229890+00:00
45,45,132262.29,121385.95,6.0,21.0,2026-09-15T02:03:53.229890+00:00
46,46,67607.33,56101.67,4.0,17.0,2026-09-15T02:03:53.229890+00:00
47,47,50539.87,49199.91,5.0,13.0,2026-09-15T02:03:53.229890+00:00
48,48,110.91,101.89,2.0,9.0,2026-09-15T02:03:53.229890+00:00
49,49,4208.81,3843.75,5.0,19.0,2026-09-15T02:03:53.229890+00:00
50,50,13144.93,10852.12,3.0,7.0,2026-09-15T02:03:53.229890+00:00
51,51,36519.9,32961.03,5.0,10.0,2026-09-15T02:03:53.229890+00:00
52,52,134382.82,130175.28,6.0,18.0,2026-09-15T02:03:53.229890+00:00
53,53,1079.94,1028.19,2.0,6.0,2026-09-15T02:03:53.229890+00:00
54,54,10999.95,9998.55,2.0,5.0,2026-09-15T02:03:53.229890+00:00
55,55,42.96,39.92,2.0,4.0,2026-09-15T02:03:53.229890+00:00
56,56,121.97,109.12,2.0,3.0,2026-09-15T02:03:53.229890+00:00
57,57,1269.91,1158.21,2.0,9.0,2026-09-15T02:03:53.229890+00:00
58,58,1212.97,1042.77,2.0,3.0,2026-09-15T02:03:53.229890+00:00
